fare,deplocation,arrlocation,deptime,arrcity,depcity,duration,arrtime
$17.00,Rensselaer Station,R17 Park and Ride,7:20 PM,"Ridgewood, NJ","Albany, NY",2hrs 20mins,9:40 PM
$5.00,SUNY Albany - Collins Circle,R17 Park and Ride,9:50 PM,"Ridgewood, NJ","Albany, NY",2hrs 40mins,12:30 AM
$5.00,Rensselaer Station,R17 Park and Ride,10:10 PM,"Ridgewood, NJ","Albany, NY",2hrs 20mins,12:30 AM
$22.00,Hampshire Mall b/t Cinemark and the Arizona Pizza Company,Royal Tyler Theatre - University Place and Main St.,1:30 PM,"Burlington, VT","Amherst, MA",3hrs 30mins,5:00 PM
$5.00,Hampshire Mall b/t Cinemark and the Arizona Pizza Company,Royal Tyler Theatre - University Place and Main St.,6:30 PM,"Burlington, VT","Amherst, MA",3hrs 30mins,10:00 PM
$34.00,MARTA Civic Center - 435 W Peachtree St NW,SE corner of Spring St and 4th St,1:00 PM,"Columbus, OH","Atlanta, GA",12hrs 45mins,1:45 AM
$34.00,MARTA Civic Center - 435 W Peachtree St NW,SE corner of Spring St and 4th St,11:59 PM,"Columbus, OH","Atlanta, GA",13hrs 46mins,1:45 PM
$1.00,MARTA Civic Center - 435 W Peachtree St NW,Willard St. outside of Durham Station Transportation Center,6:00 AM,"Durham, NC","Atlanta, GA",10hrs 10mins,4:10 PM
$1.00,MARTA Civic Center - 435 W Peachtree St NW,Willard St. outside of Durham Station Transportation Center,10:30 AM,"Durham, NC","Atlanta, GA",10hrs 30mins,9:00 PM
$3.00,MARTA Civic Center - 435 W Peachtree St NW,Willard St. outside of Durham Station Transportation Center,9:00 PM,"Durham, NC","Atlanta, GA",8hrs 30mins,5:30 AM
$89.00,MARTA Civic Center - 435 W Peachtree St NW,PSU Erie - Erie Lot (on College Dr next to tennis courts),1:00 PM,"Erie, PA","Atlanta, GA",17hrs 45mins,6:45 AM
$89.00,MARTA Civic Center - 435 W Peachtree St NW,PSU Erie - Erie Lot (on College Dr next to tennis courts),11:59 PM,"Erie, PA","Atlanta, GA",18hrs 46mins,6:45 PM
$1.00,MARTA Civic Center - 435 W Peachtree St NW,Fayetteville Transit Center,6:00 AM,"Fayetteville, NC","Atlanta, GA",8hrs 35mins,2:35 PM
$1.00,MARTA Civic Center - 435 W Peachtree St NW,Fayetteville Transit Center,10:30 AM,"Fayetteville, NC","Atlanta, GA",9hrs 0mins,7:30 PM
$3.00,MARTA Civic Center - 435 W Peachtree St NW,Fayetteville Transit Center,9:00 PM,"Fayetteville, NC","Atlanta, GA",7hrs 0mins,4:00 AM
$19.00,MARTA Civic Center - 435 W Peachtree St NW,Hull Rd. Parking Lot across from UF Southwest Rec. Ctr,12:15 PM,"Gainesville, FL","Atlanta, GA",6hrs 30mins,6:45 PM
$27.00,MARTA Civic Center - 435 W Peachtree St NW,Hull Rd. Parking Lot across from UF Southwest Rec. Ctr,11:59 PM,"Gainesville, FL","Atlanta, GA",6hrs 26mins,6:25 AM
$48.00,MARTA Civic Center - 435 W Peachtree St NW,200 E Washington St.,6:00 AM,"Indianapolis, IN","Atlanta, GA",11hrs 20mins,5:20 PM
$48.00,MARTA Civic Center - 435 W Peachtree St NW,200 E Washington St.,4:10 PM,"Indianapolis, IN","Atlanta, GA",10hrs 50mins,3:00 AM
$21.00,MARTA Civic Center - 435 W Peachtree St NW,Jacksoville Skyway - Convention Center Stop,7:00 AM,"Jacksonville, FL","Atlanta, GA",6hrs 0mins,1:00 PM
$27.00,MARTA Civic Center - 435 W Peachtree St NW,Jacksoville Skyway - Convention Center Stop,4:30 PM,"Jacksonville, FL","Atlanta, GA",6hrs 0mins,10:30 PM
$27.00,MARTA Civic Center - 435 W Peachtree St NW,Jacksoville Skyway - Convention Center Stop,8:30 PM,"Jacksonville, FL","Atlanta, GA",6hrs 5mins,2:35 AM
$15.00,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,6:45 AM,"Knoxville, TN","Atlanta, GA",3hrs 25mins,10:10 AM
$24.00,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,1:00 PM,"Knoxville, TN","Atlanta, GA",4hrs 10mins,5:10 PM
$15.00,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,7:15 PM,"Knoxville, TN","Atlanta, GA",3hrs 25mins,10:40 PM
$19.00,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,11:59 PM,"Knoxville, TN","Atlanta, GA",4hrs 11mins,4:10 AM
$18.00,MARTA Civic Center - 435 W Peachtree St NW,Lextran Transit Ctr - High Street side  185 East High Street,1:00 PM,"Lexington, KY","Atlanta, GA",7hrs 40mins,8:40 PM
$16.00,MARTA Civic Center - 435 W Peachtree St NW,Lextran Transit Ctr - High Street side  185 East High Street,11:59 PM,"Lexington, KY","Atlanta, GA",7hrs 41mins,7:40 AM
$38.00,MARTA Civic Center - 435 W Peachtree St NW,SW Corner of W Liberty St and S 5th St,6:00 AM,"Louisville, KY","Atlanta, GA",8hrs 30mins,2:30 PM
$38.00,MARTA Civic Center - 435 W Peachtree St NW,SW Corner of W Liberty St and S 5th St,4:10 PM,"Louisville, KY","Atlanta, GA",8hrs 20mins,12:30 AM
$10.00,MARTA Civic Center - 435 W Peachtree St NW,MATA North End Terminal,6:30 AM,"Memphis, TN","Atlanta, GA",7hrs 55mins,1:25 PM
$21.00,MARTA Civic Center - 435 W Peachtree St NW,MATA North End Terminal,1:30 PM,"Memphis, TN","Atlanta, GA",7hrs 55mins,8:25 PM
$10.00,MARTA Civic Center - 435 W Peachtree St NW,MATA North End Terminal,11:00 PM,"Memphis, TN","Atlanta, GA",7hrs 30mins,5:30 AM
$10.00,MARTA Civic Center - 435 W Peachtree St NW,GM&O Transit Center - 110 Beauregard St,6:10 AM,"Mobile, AL","Atlanta, GA",6hrs 20mins,11:30 AM
$10.00,MARTA Civic Center - 435 W Peachtree St NW,GM&O Transit Center - 110 Beauregard St,1:45 PM,"Mobile, AL","Atlanta, GA",6hrs 20mins,7:05 PM
$41.00,MARTA Civic Center - 435 W Peachtree St NW,GM&O Transit Center - 110 Beauregard St,11:45 PM,"Mobile, AL","Atlanta, GA",6hrs 20mins,5:05 AM
$9.00,MARTA Civic Center - 435 W Peachtree St NW,Parking Lot at SE Corner of Woodmere Blvd and Easter Blvd,6:10 AM,"Montgomery, AL","Atlanta, GA",2hrs 45mins,7:55 AM
$9.00,MARTA Civic Center - 435 W Peachtree St NW,Parking Lot at SE Corner of Woodmere Blvd and Easter Blvd,1:45 PM,"Montgomery, AL","Atlanta, GA",2hrs 45mins,3:30 PM
$24.00,MARTA Civic Center - 435 W Peachtree St NW,Parking Lot at SE Corner of Woodmere Blvd and Easter Blvd,11:45 PM,"Montgomery, AL","Atlanta, GA",2hrs 45mins,1:30 AM
$19.00,MARTA Civic Center - 435 W Peachtree St NW,704 4th Ave South,6:00 AM,"Nashville, TN","Atlanta, GA",4hrs 50mins,9:50 AM
$20.00,MARTA Civic Center - 435 W Peachtree St NW,704 4th Ave South,4:10 PM,"Nashville, TN","Atlanta, GA",4hrs 50mins,8:00 PM
$26.00,MARTA Civic Center - 435 W Peachtree St NW,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,6:10 AM,"New Orleans, LA","Atlanta, GA",8hrs 45mins,1:55 PM
$26.00,MARTA Civic Center - 435 W Peachtree St NW,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,1:45 PM,"New Orleans, LA","Atlanta, GA",8hrs 45mins,9:30 PM
$41.00,MARTA Civic Center - 435 W Peachtree St NW,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,11:45 PM,"New Orleans, LA","Atlanta, GA",8hrs 45mins,7:30 AM
$89.00,MARTA Civic Center - 435 W Peachtree St NW,7th Ave & 28th St.,6:45 AM,"New York, NY","Atlanta, GA",19hrs 55mins,2:40 AM
$109.00,MARTA Civic Center - 435 W Peachtree St NW,7th Ave & 28th St.,7:15 PM,"New York, NY","Atlanta, GA",19hrs 15mins,2:30 PM
$19.00,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,7:00 AM,"Orlando, FL","Atlanta, GA",8hrs 45mins,3:45 PM
$19.00,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,12:15 PM,"Orlando, FL","Atlanta, GA",8hrs 45mins,9:00 PM
$39.00,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,4:30 PM,"Orlando, FL","Atlanta, GA",8hrs 45mins,1:15 AM
$21.00,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,8:30 PM,"Orlando, FL","Atlanta, GA",8hrs 45mins,5:15 AM
$39.00,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,11:59 PM,"Orlando, FL","Atlanta, GA",8hrs 36mins,8:35 AM
$44.00,MARTA Civic Center - 435 W Peachtree St NW,Union Station.,6:45 AM,"Washington, DC","Atlanta, GA",12hrs 45mins,7:30 PM
$48.00,MARTA Civic Center - 435 W Peachtree St NW,Union Station.,7:15 PM,"Washington, DC","Atlanta, GA",12hrs 45mins,8:00 AM
$10.00,Whitis Ave b/t W 20th St and W 21st St,"710 Davis St, Grand Prairie",7:20 AM,"Dallas/Fort Worth, TX","Austin, TX",3hrs 35mins,10:55 AM
$10.00,Whitis Ave b/t W 20th St and W 21st St,"DART East Transfer Center, 330 North Olive Street",7:20 AM,"Dallas/Fort Worth, TX","Austin, TX",3hrs 10mins,10:30 AM
$25.00,Whitis Ave b/t W 20th St and W 21st St,"710 Davis St, Grand Prairie",2:40 PM,"Dallas/Fort Worth, TX","Austin, TX",3hrs 45mins,6:25 PM
$25.00,Whitis Ave b/t W 20th St and W 21st St,"DART East Transfer Center, 330 North Olive Street",2:40 PM,"Dallas/Fort Worth, TX","Austin, TX",3hrs 20mins,6:00 PM
$25.00,Whitis Ave b/t W 20th St and W 21st St,"710 Davis St, Grand Prairie",10:05 PM,"Dallas/Fort Worth, TX","Austin, TX",3hrs 35mins,1:40 AM
$25.00,Whitis Ave b/t W 20th St and W 21st St,"DART East Transfer Center, 330 North Olive Street",10:05 PM,"Dallas/Fort Worth, TX","Austin, TX",3hrs 10mins,1:15 AM
$5.00,Whitis Ave b/t W 20th St and W 21st St,"Katy Mills Mall, Entrance 5",12:30 PM,"Houston, TX","Austin, TX",2hrs 50mins,3:20 PM
$5.00,Whitis Ave b/t W 20th St and W 21st St,815 Pierce St near Travis St,12:30 PM,"Houston, TX","Austin, TX",3hrs 15mins,3:45 PM
$7.00,Whitis Ave b/t W 20th St and W 21st St,815 Pierce St near Travis St,7:00 PM,"Houston, TX","Austin, TX",3hrs 30mins,10:30 PM
$7.00,Whitis Ave b/t W 20th St and W 21st St,Select Shell Station - 13250 FM 1960 W,7:00 PM,"Houston, TX","Austin, TX",3hrs 5mins,10:05 PM
$5.00,Whitis Ave b/t W 20th St and W 21st St,South corner of 4th St and Broadway St,9:40 AM,"San Antonio, TX","Austin, TX",1hrs 25mins,11:05 AM
$3.00,Whitis Ave b/t W 20th St and W 21st St,South corner of 4th St and Broadway St,4:55 PM,"San Antonio, TX","Austin, TX",1hrs 25mins,6:20 PM
$3.00,Whitis Ave b/t W 20th St and W 21st St,South corner of 4th St and Broadway St,11:55 PM,"San Antonio, TX","Austin, TX",1hrs 50mins,1:45 AM
$37.00,White Marsh Mall (Opp Red Lobster),South Station - Gate 13,10:10 AM,"Boston, MA","Baltimore, MD",9hrs 25mins,7:35 PM
$50.00,White Marsh Mall (Opp Red Lobster),South Station - Gate 13,8:10 PM,"Boston, MA","Baltimore, MD",9hrs 5mins,5:15 AM
$60.00,White Marsh Mall (Opp Red Lobster),Downtown Terminal,9:25 PM,"Buffalo, NY","Baltimore, MD",9hrs 55mins,7:20 AM
$15.00,White Marsh Mall (Opp Red Lobster),Hampton Transit Center - 2 W Pembroke Ave,9:30 AM,"Hampton, VA","Baltimore, MD",5hrs 30mins,3:00 PM
$15.00,White Marsh Mall (Opp Red Lobster),Hampton Transit Center - 2 W Pembroke Ave,5:50 PM,"Hampton, VA","Baltimore, MD",6hrs 0mins,11:50 PM
$14.00,White Marsh MTA Park & Ride,7th Ave & 28th St.,1:10 AM,"New York, NY","Baltimore, MD",3hrs 40mins,4:50 AM
$17.00,White Marsh MTA Park & Ride,7th Ave & 28th St.,9:20 AM,"New York, NY","Baltimore, MD",3hrs 20mins,12:40 PM
$17.00,White Marsh MTA Park & Ride,7th Ave & 28th St.,11:20 AM,"New York, NY","Baltimore, MD",3hrs 20mins,2:40 PM
$19.00,White Marsh MTA Park & Ride,7th Ave & 28th St.,7:20 PM,"New York, NY","Baltimore, MD",3hrs 20mins,10:40 PM
$16.00,White Marsh MTA Park & Ride,7th Ave & 28th St.,9:20 PM,"New York, NY","Baltimore, MD",3hrs 20mins,12:40 AM
$14.00,White Marsh MTA Park & Ride,7th Ave & 28th St.,11:20 PM,"New York, NY","Baltimore, MD",3hrs 20mins,2:40 AM
$15.00,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,7:15 AM,"Newark, DE","Baltimore, MD",1hrs 0mins,8:15 AM
$15.00,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,12:35 PM,"Newark, DE","Baltimore, MD",1hrs 10mins,1:45 PM
$15.00,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,8:45 PM,"Newark, DE","Baltimore, MD",1hrs 0mins,9:45 PM
$10.00,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,11:05 PM,"Newark, DE","Baltimore, MD",1hrs 0mins,12:05 AM
$16.00,White Marsh MTA Park & Ride,30th St Station,1:10 AM,"Philadelphia, PA","Baltimore, MD",1hrs 40mins,2:50 AM
$14.00,White Marsh Mall (Opp Red Lobster),30th St Station,7:15 AM,"Philadelphia, PA","Baltimore, MD",2hrs 15mins,9:30 AM
$37.00,White Marsh Mall (Opp Red Lobster),30th St Station,10:10 AM,"Philadelphia, PA","Baltimore, MD",1hrs 55mins,12:05 PM
$13.00,White Marsh Mall (Opp Red Lobster),30th St Station,12:35 PM,"Philadelphia, PA","Baltimore, MD",2hrs 30mins,3:05 PM
$13.00,White Marsh Mall (Opp Red Lobster),30th St Station,5:35 PM,"Philadelphia, PA","Baltimore, MD",2hrs 5mins,7:40 PM
$37.00,White Marsh Mall (Opp Red Lobster),30th St Station,8:10 PM,"Philadelphia, PA","Baltimore, MD",1hrs 50mins,10:00 PM
$7.00,White Marsh Mall (Opp Red Lobster),30th St Station,8:45 PM,"Philadelphia, PA","Baltimore, MD",2hrs 10mins,10:55 PM
$40.00,White Marsh Mall (Opp Red Lobster),30th St Station,9:25 PM,"Philadelphia, PA","Baltimore, MD",1hrs 55mins,11:20 PM
$7.00,White Marsh Mall (Opp Red Lobster),30th St Station,11:05 PM,"Philadelphia, PA","Baltimore, MD",2hrs 10mins,1:15 AM
$3.00,White Marsh Mall (Opp Red Lobster),30th St Station,11:20 PM,"Philadelphia, PA","Baltimore, MD",2hrs 0mins,1:20 AM
$15.00,White Marsh Mall (Opp Red Lobster),The Plaza at Main Street Station,9:30 AM,"Richmond, VA","Baltimore, MD",4hrs 0mins,1:30 PM
$11.00,White Marsh Mall (Opp Red Lobster),The Plaza at Main Street Station,1:45 PM,"Richmond, VA","Baltimore, MD",4hrs 15mins,6:00 PM
$15.00,White Marsh Mall (Opp Red Lobster),The Plaza at Main Street Station,5:50 PM,"Richmond, VA","Baltimore, MD",4hrs 25mins,10:15 PM
$40.00,White Marsh Mall (Opp Red Lobster),Frank. J Lautenberg Station at Secaucus Junction,10:10 AM,"Secaucus, NJ","Baltimore, MD",3hrs 45mins,1:55 PM
$37.00,White Marsh Mall (Opp Red Lobster),Frank. J Lautenberg Station at Secaucus Junction,8:10 PM,"Secaucus, NJ","Baltimore, MD",3hrs 40mins,11:50 PM
$60.00,White Marsh Mall (Opp Red Lobster),Toronto Coach Terminal - 610 Bay Street,9:25 PM,"Toronto, ON","Baltimore, MD",12hrs 40mins,10:05 AM
$6.00,White Marsh Mall (Opp Red Lobster),Union Station.,1:35 AM,"Washington, DC","Baltimore, MD",1hrs 10mins,2:45 AM
$20.00,White Marsh Mall (Opp Red Lobster),Union Station.,6:45 AM,"Washington, DC","Baltimore, MD",1hrs 40mins,8:25 AM
$15.00,White Marsh Mall (Opp Red Lobster),Union Station.,9:30 AM,"Washington, DC","Baltimore, MD",1hrs 25mins,10:55 AM
$6.00,White Marsh Mall (Opp Red Lobster),Union Station.,1:45 PM,"Washington, DC","Baltimore, MD",1hrs 15mins,3:00 PM
$6.00,White Marsh Mall (Opp Red Lobster),Union Station.,4:45 PM,"Washington, DC","Baltimore, MD",1hrs 10mins,5:55 PM
$9.00,White Marsh Mall (Opp Red Lobster),Union Station.,5:50 PM,"Washington, DC","Baltimore, MD",1hrs 35mins,7:25 PM
$35.00,White Marsh Mall (Opp Red Lobster),Union Station.,6:25 PM,"Washington, DC","Baltimore, MD",1hrs 30mins,7:55 PM
$4.00,White Marsh Mall (Opp Red Lobster),Union Station.,8:45 PM,"Washington, DC","Baltimore, MD",1hrs 5mins,9:50 PM
$4.00,White Marsh Mall (Opp Red Lobster),Union Station.,11:00 PM,"Washington, DC","Baltimore, MD",0hrs 59mins,11:59 PM
$22.00,South side of Florida St between 3rd St and Lafayette St,South corner of 4th St and Broadway St,2:00 AM,"San Antonio, TX","Baton Rouge, LA",8hrs 15mins,10:15 AM
$30.00,South side of Florida St between 3rd St and Lafayette St,South corner of 4th St and Broadway St,9:45 AM,"San Antonio, TX","Baton Rouge, LA",9hrs 15mins,7:00 PM
$27.00,South side of Florida St between 3rd St and Lafayette St,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,4:00 AM,"New Orleans, LA","Baton Rouge, LA",1hrs 45mins,5:45 AM
$27.00,South side of Florida St between 3rd St and Lafayette St,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,12:45 PM,"New Orleans, LA","Baton Rouge, LA",1hrs 45mins,2:30 PM
$27.00,South side of Florida St between 3rd St and Lafayette St,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,8:15 PM,"New Orleans, LA","Baton Rouge, LA",1hrs 45mins,10:00 PM
$13.00,Greater Binghamton Transportation Center,Port Authority Bus Terminal,3:05 AM,"New York, NY","Binghamton, NY",3hrs 45mins,6:50 AM
$17.00,Greater Binghamton Transportation Center,Port Authority Bus Terminal,6:10 AM,"New York, NY","Binghamton, NY",3hrs 40mins,9:50 AM
$29.00,Greater Binghamton Transportation Center,Port Authority Bus Terminal,8:40 AM,"New York, NY","Binghamton, NY",3hrs 40mins,12:20 PM
