fare,urlscraped,origcity,datescraped,destlocation,timescraped,origtime,destcity,origlocation,duration,desttime
$48.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=289&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,MARTA Civic Center - 435 W Peachtree St NW,21:05:21.054000,9:30 PM,"Atlanta, GA",Union Station.,13hrs 0mins,10:30 AM
$37.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=94&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,South Station - Gate 13,21:05:28.366000,8:50 AM,"Boston, MA",Union Station.,10hrs 45mins,7:35 PM
$37.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=94&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,South Station - Gate 13,21:05:28.367000,6:45 PM,"Boston, MA",Union Station.,10hrs 30mins,5:15 AM
$53.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=95&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Downtown Terminal,21:05:35.706000,8:00 PM,"Buffalo, NY",Union Station.,11hrs 20mins,7:20 AM
$34.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=99&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,(Temporary Location) Outside Charlotte Convention Center - Eastbound MLK Jr Blvd,21:05:43.089000,7:20 AM,"Charlotte, NC",Union Station.,7hrs 50mins,3:10 PM
$34.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=99&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,(Temporary Location) Outside Charlotte Convention Center - Eastbound MLK Jr Blvd,21:05:43.090000,11:00 PM,"Charlotte, NC",Union Station.,7hrs 50mins,6:50 AM
$25.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=101&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Falling Branch Park & Ride Exit 118A,21:05:49.145000,9:00 AM,"Christiansburg, VA",Union Station.,4hrs 45mins,1:45 PM
$26.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=101&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Falling Branch Park & Ride Exit 118A,21:05:49.147000,9:30 PM,"Christiansburg, VA",Union Station.,4hrs 45mins,2:15 AM
$24.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=131&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Willard St. outside of Durham Station Transportation Center,21:05:55.370000,7:20 AM,"Durham, NC",Union Station.,4hrs 50mins,12:10 PM
$24.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=131&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Willard St. outside of Durham Station Transportation Center,21:05:55.371000,11:10 AM,"Durham, NC",Union Station.,5hrs 15mins,4:25 PM
$24.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=131&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Willard St. outside of Durham Station Transportation Center,21:05:55.373000,11:00 PM,"Durham, NC",Union Station.,4hrs 50mins,3:50 AM
$7.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=110&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Hampton Transit Center - 2 W Pembroke Ave,21:06:00.418000,6:45 AM,"Hampton, VA",Union Station.,3hrs 55mins,10:40 AM
$13.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=110&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Hampton Transit Center - 2 W Pembroke Ave,21:06:00.420000,11:10 AM,"Hampton, VA",Union Station.,3hrs 50mins,3:00 PM
$15.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=110&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Hampton Transit Center - 2 W Pembroke Ave,21:06:00.421000,7:55 PM,"Hampton, VA",Union Station.,3hrs 55mins,11:50 PM
$25.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=118&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Knoxville Transit Center,21:06:07.404000,9:00 AM,"Knoxville, TN",Union Station.,9hrs 15mins,6:15 PM
$26.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=118&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Knoxville Transit Center,21:06:07.405000,9:30 PM,"Knoxville, TN",Union Station.,9hrs 15mins,6:45 AM
$24.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=299&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Mountaineer Station - 1112 Van Voorhis Rd,21:06:14.838000,7:10 AM,"Morgantown, WV",Union Station.,4hrs 30mins,11:40 AM
$24.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=299&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,Mountaineer Station - 1112 Van Voorhis Rd,21:06:14.839000,3:10 PM,"Morgantown, WV",Union Station.,4hrs 30mins,7:40 PM
$15.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=389&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,U of Delaware - Parking Lot #6 on Christiana Dr,21:06:24.697000,5:55 AM,"Newark, DE",Union Station.,2hrs 20mins,8:15 AM
$15.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=389&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,U of Delaware - Parking Lot #6 on Christiana Dr,21:06:24.698000,11:15 AM,"Newark, DE",Union Station.,2hrs 30mins,1:45 PM
$16.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=389&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,U of Delaware - Parking Lot #6 on Christiana Dr,21:06:24.700000,7:25 PM,"Newark, DE",Union Station.,2hrs 20mins,9:45 PM
$10.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=389&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,U of Delaware - Parking Lot #6 on Christiana Dr,21:06:24.701000,9:45 PM,"Newark, DE",Union Station.,2hrs 20mins,12:05 AM
$13.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.288000,5:55 AM,"Philadelphia, PA",Union Station.,3hrs 35mins,9:30 AM
$13.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.289000,7:10 AM,"Philadelphia, PA",Union Station.,3hrs 20mins,10:30 AM
$37.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.290000,8:50 AM,"Philadelphia, PA",Union Station.,3hrs 15mins,12:05 PM
$11.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.292000,10:05 AM,"Philadelphia, PA",Union Station.,3hrs 15mins,1:20 PM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.293000,11:15 AM,"Philadelphia, PA",Union Station.,3hrs 50mins,3:05 PM
$11.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.294000,1:10 PM,"Philadelphia, PA",Union Station.,3hrs 5mins,4:15 PM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.295000,4:15 PM,"Philadelphia, PA",Union Station.,3hrs 25mins,7:40 PM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.297000,5:15 PM,"Philadelphia, PA",Union Station.,3hrs 15mins,8:30 PM
$37.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.298000,6:45 PM,"Philadelphia, PA",Union Station.,3hrs 15mins,10:00 PM
$7.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.299000,7:25 PM,"Philadelphia, PA",Union Station.,3hrs 30mins,10:55 PM
$40.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.300000,8:00 PM,"Philadelphia, PA",Union Station.,3hrs 20mins,11:20 PM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.301000,9:45 PM,"Philadelphia, PA",Union Station.,3hrs 30mins,1:15 AM
$5.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.302000,10:10 PM,"Philadelphia, PA",Union Station.,3hrs 10mins,1:20 AM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=127&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,30th St Station,21:06:31.304000,11:59 PM,"Philadelphia, PA",Union Station.,2hrs 51mins,2:50 AM
$7.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=132&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,The Plaza at Main Street Station,21:06:37.705000,6:45 AM,"Richmond, VA",Union Station.,2hrs 20mins,9:05 AM
$24.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=132&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,The Plaza at Main Street Station,21:06:37.706000,7:20 AM,"Richmond, VA",Union Station.,2hrs 10mins,9:30 AM
$13.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=132&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,The Plaza at Main Street Station,21:06:37.707000,11:10 AM,"Richmond, VA",Union Station.,2hrs 20mins,1:30 PM
$24.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=132&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,The Plaza at Main Street Station,21:06:37.708000,11:10 AM,"Richmond, VA",Union Station.,2hrs 15mins,1:25 PM
